station,avg_boardings_per_day,latitude,longitude,agency
Ballpark Station,3796.977454884818,40.742583,-111.896781,UTA
Ballpark Station,3796.977454884818,40.741876,-111.896785,UTA
Bingham Junction Station,538.0508792431818,40.617138,-111.914906,UTA
Bingham Junction Station,538.0508792431818,40.617073,-111.915754,UTA
Central Pointe Station,5574.267795156182,40.724801,-111.896861,UTA
Central Pointe Station,5574.267795156182,40.724091,-111.896892,UTA
Central Pointe Station,5574.267795156182,40.723424,-111.896794,UTA
City Center Station,4739.711767204909,40.768217,-111.891081,UTA
City Center Station,4739.711767204909,40.767452,-111.891101,UTA
Courthouse Station,7864.013400097091,40.759536,-111.891071,UTA
Courthouse Station,7864.013400097091,40.758762,-111.891096,UTA
Crescent View Station,515.8547052873637,40.545343,-111.878751,UTA
Crescent View Station,515.8547052873637,40.544591,-111.878506,UTA
Daybreak Parkway Station,1563.1443283692727,40.544377,-112.014304,UTA
Daybreak Parkway Station,1563.1443283692727,40.543811,-112.013905,UTA
Decker Lake Station,556.9723443002728,40.705035,-111.948675,UTA
Decker Lake Station,556.9723443002728,40.704288,-111.948681,UTA
Draper Town Center Station,1150.837306445909,40.525675,-111.859915,UTA
Draper Town Center Station,1150.837306445909,40.525496,-111.858805,UTA
Fairpark Station,527.7590279799999,40.771468,-111.923759,UTA
Fairpark Station,527.7590279799999,40.77148,-111.924632,UTA
Fashion Place West Station,2634.091014616273,40.633823,-111.898319,UTA
Fashion Place West Station,2634.091014616273,40.633116,-111.898355,UTA
Fort Douglas Station,1137.3898907453704,40.764766,-111.836793,UTA
Fort Douglas Station,1137.3898907453704,40.764059,-111.836427,UTA
Gallivan Plaza Station,2689.890954247091,40.763087,-111.891102,UTA
Gallivan Plaza Station,2689.890954247091,40.763855,-111.891071,UTA
Historic Gardner Station,257.3955079766364,40.608219,-111.924005,UTA
Historic Gardner Station,257.3955079766364,40.607889,-111.924723,UTA
Historic Sandy Station,973.7555744492727,40.589811,-111.885661,UTA
Historic Sandy Station,973.7555744492727,40.589114,-111.885744,UTA
JORDAN RIVER SERVICE CENTER RELIEF,10.638157485172414,40.723584,-111.919923,UTA
Jackson/Euclid Station,1690.9685232546362,40.771502,-111.914486,UTA
Jackson/Euclid Station,1690.9685232546362,40.771505,-111.915361,UTA
Jordan Valley Station,502.25569433881816,40.594939,-111.971375,UTA
Jordan Valley Station,502.25569433881816,40.594708,-111.972171,UTA
Kimballs Lane Station,312.5150359160909,40.536528,-111.872436,UTA
Kimballs Lane Station,312.5150359160909,40.535876,-111.871887,UTA
Library Station,2067.620108532477,40.760643,-111.884956,UTA
Library Station,2067.620108532477,40.760637,-111.883942,UTA
MRSC OPERATOR RELIEF,11.33755727209091,40.627338,-111.906399,UTA
Meadowbrook Station,1895.0522756717273,40.688026,-111.896725,UTA
Meadowbrook Station,1895.0522756717273,40.687328,-111.896553,UTA
Midvale Center Station,861.2213148000909,40.610541,-111.893216,UTA
Midvale Center Station,861.2213148000909,40.609975,-111.892645,UTA
Midvale Fort Union Station,1273.935015627091,40.618685,-111.897701,UTA
Midvale Fort Union Station,1273.935015627091,40.619458,-111.898381,UTA
Midvale Fort Union Station,1273.935015627091,40.618761,-111.898291,UTA
Millcreek Station,2489.9361630143635,40.701067,-111.896939,UTA
Millcreek Station,2489.9361630143635,40.700365,-111.896952,UTA
Murray Central Station,3674.793595140182,40.660269,-111.895282,UTA
Murray Central Station,3674.793595140182,40.659631,-111.895661,UTA
Murray Central Station,3674.793595140182,40.659758,-111.896432,UTA
Murray North Station,1500.7493116800908,40.677155,-111.894053,UTA
Murray North Station,1500.7493116800908,40.676454,-111.894079,UTA
North Temple Bridge/Guadalupe,1829.4122086405455,40.771587,-111.905195,UTA
North Temple Bridge/Guadalupe,1829.4122086405455,40.771578,-111.904318,UTA
Old Greektown Station,995.2643556795455,40.765022,-111.905788,UTA
Old Greektown Station,995.2643556795455,40.765022,-111.906778,UTA
Planetarium Station,1273.1006447168181,40.766858,-111.902524,UTA
Planetarium Station,1273.1006447168181,40.766096,-111.902558,UTA
Power Station,892.5811193671818,40.771499,-111.933502,UTA
Power Station,892.5811193671818,40.771509,-111.934373,UTA
Power Station,892.5811193671818,40.771345,-111.933475,UTA
RIVER TRAIL STATION,233.73877978596772,40.719897,-111.923801,UTA
Redwood Junction Station,743.8591842440909,40.711149,-111.939324,UTA
Redwood Junction Station,743.8591842440909,40.711146,-111.940293,UTA
River Trail Station,310.92418057204543,40.720605,-111.923811,UTA
Salt Lake Central Station,1883.1748295818184,40.762533,-111.908296,UTA
Salt Lake Central Station,1883.1748295818184,40.76234,-111.909052,UTA
Salt Lake Central Station,1883.1748295818184,40.761721,-111.908301,UTA
Sandy Civic Center Station,690.9133225283636,40.571127,-111.884681,UTA
Sandy Civic Center Station,690.9133225283636,40.570273,-111.884471,UTA
Sandy Expo Station,437.5456368064546,40.581703,-111.886234,UTA
Sandy Expo Station,437.5456368064546,40.581007,-111.886429,UTA
South Jordan Downtown Station,235.4651418818182,40.549573,-112.019345,UTA
South Jordan Downtown Station,235.4651418818182,40.550678,-112.020504,UTA
South Jordan Parkway Station,180.274671646,40.559038,-112.024643,UTA
South Jordan Parkway Station,180.274671646,40.558395,-112.024764,UTA
Stadium Station,2813.146752051389,40.760126,-111.852171,UTA
Stadium Station,2813.146752051389,40.759286,-111.852178,UTA
Temple Square Station,1841.3500931276362,40.769353,-111.895321,UTA
Temple Square Station,1841.3500931276362,40.769335,-111.894303,UTA
Trolley Station,2578.903735255229,40.760672,-111.873552,UTA
Trolley Station,2578.903735255229,40.760664,-111.872527,UTA
University Medical Center,1738.3395806083333,40.769871,-111.839201,UTA
University Medical Center,1738.3395806083333,40.769208,-111.838503,UTA
University South Campus Station,1048.248461126389,40.760509,-111.839146,UTA
University South Campus Station,1048.248461126389,40.760085,-111.839976,UTA
West Jordan City Center Station,686.9980679915454,40.605024,-111.936071,UTA
West Jordan City Center Station,686.9980679915454,40.604797,-111.936857,UTA
West Valley Central Station,2226.406119331091,40.694366,-111.958917,UTA
West Valley Central Station,2226.406119331091,40.694361,-111.959834,UTA
300 East Station,178.53547319345455,40.722324,-111.882335,UTA
